SURVEY,CASE,YOB,age,HHINC,FAML1,IEXP,GEN,PINT1,PINT2,PINT3,WINT1,WINT2,WINT3,MINT1,MINT2,MINT3,RINT1,RINT2,RINT3,UATT1,UATT2,UATT3,UATT4,UATT5,TRST1,TRST2,TRST3,TRST4,PRSK1,PRSK2,PRSK3,PRSK4,ASEC1,ASEC2,ASEC3,ASEC4,NSEC1,NSEC2,NSEC3,CSEC1,CSEC2,CSEC3,CSEC4,PSEC1,PSEC2,PSEC3,PSEC4,DSEC1,DSEC2,DSEC3,PREP1,PREP2,PREP3,PREP4,PSZE1,PSZE2,PSZE3,PEOU1,PEOU2,PEOU3,PUSE1,PUSE2,PUSE3,PINV1,PINV2,PINV3,PTPS1,PTPS2,PTPS3,GPSS1,GPSS2,GPSS3,PPSS1,PPSS2,PPSS3,PINN1,PINN2,PINN3,SEFF1,SEFF2,SEFF3,PIPC1,PIPC2,PIPC3,PSEC_FS,ASEC_FS,NSEC_FS,PINN_FS,PINT_FS,PINV_FS,PIPC_FS,PPSS_FS,PREP_FS,PEOU_PS,PUSE_FS,RISK_FS,SEC_FS,SEFF_FS,TRUST_FS,UATT_FS,SECPUSE,SECPREP,SECRISK,SECTRUST,SECPEOU,SECUATT,SEFFPPSS,SEFFPREP,SEFFPINV,SEFFSEC,PINNPPSS,PINNPREP,PINNPINV,PINNSEC,PIPCPPSS,PIPCPREP,PIPCPINV,PIPCSEC,PREPTRUST,fs_FAML,fs_INN,fs_IPC,fs_PINV,fs_PPSS,fs_REP,fs_ASEC,fs_CSEC,fs_DSEC,fs_NSEC,fs_PSEC,fs_SEC,fs_TRUST,fs_PINT,fs_RINT,fs_WOM,ms_ASEC,ms_CSEC,ms_DSEC,ms_NSEC,ms_PSEC
1,1,1958,49,29999,7,5,1,7,7,7,5,5,5,2,2,2,6,6,6,7,7,7,7,7,6,5,7,7,1,1,1,1,7,7,7,7,7,7,7,5,7,7,4,4,5,5,5,5,5,5,7,7,7,1,7,7,7,7,7,7,1,7,7,7,7,1,1,1,1,1,1,1,7,4,7,4,1,4,7,6,6,1,1,1,-0.328440596,1.146641255,1.422856931,-0.8155,1.013,-0.3252,-2.8429,0.3391,-0.145,0.730204588,0.907140278,-0.9806,0.6689,0.7907,0.7399,1.0952,0.674968206,-0.76267871,-0.41471653,0.20065281,0.616673448,0.842480823,0.313619989,-0.478504109,-0.671932361,0.389506203,-0.485293799,-0.162685235,-0.085627941,-0.689556122,-2.58235501,-0.449127449,-0.065975942,-2.621272721,-0.701987643,0.863,-0.9179,-3.1958,-0.3254,0.3289,0.6878,1.1622,0.516,-0.2224,1.4156,-0.3262,0.5622,0.6666,1.0107,0.0786,-0.5202,7.0000,5.7500,5.0000,7.0000,4.7500
1,2,1938,69,100000,6,5,1,7,7,7,7,7,7,1,1,3,7,7,7,7,7,7,7,7,7,6,6,7,1,1,1,2,6,6,6,7,6,6,6,5,5,6,5,5,6,5,5,6,6,6,7,7,6,7,7,7,7,7,7,7,1,6,7,6,6,6,5,5,5,6,6,5,6,5,5,4,2,4,2,3,3,4,5,6,0.083903269,0.504029472,0.74595605,-0.6381,1.013,0.2716,0.0413,-0.0058,0.615,0.730204588,0.611891206,-0.7567,0.4169,-1.438,0.7906,1.0952,0.088446798,0.211961751,-0.009609973,-0.019494078,0.462303196,0.506188889,-0.840701919,-0.966468648,-0.645316455,-0.972257935,-0.447113119,-0.372926033,-0.336985107,-0.481030871,-0.492635069,-0.013178504,-0.257925724,-0.202208604,0.474298643,0.196,-0.7215,-0.0287,0.2468,-0.1077,0.3848,0.5753,-0.062,0.6087,0.7125,0.0506,0.3863,0.6592,1.0107,0.7253,0.9464,6.2500,5.2500,6.0000,6.0000,5.2500
1,3,1966,41,65000,7,7,2,7,7,7,4,4,4,1,1,2,4,4,4,6,6,6,6,6,6,6,6,6,4,4,3,3,7,7,4,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,7,6,6,6,6,6,6,6,6,6,1,7,7,6,6,4,5,5,5,6,6,6,6,4,6,6,6,6,5,5,5,3,4,4,0.3572668,0.488611059,0.645026858,0.9711,1.013,-0.1972,-0.889,-0.1443,0.2148,-0.164916388,0.907140278,0.8573,0.5232,-0.0232,0.3979,0.3018,0.507589161,-0.263014097,0.815838471,-0.22217643,-1.028856371,-0.213986279,-0.503328539,-0.221028928,-0.383487627,-0.251351701,-0.712575369,-0.126401144,-0.66716131,0.151568334,-0.871706884,-0.556324419,-0.399118611,-0.840933358,-0.301107219,0.863,0.9878,-1.0408,-0.2184,-0.2141,0.0922,0.3907,0.5415,0.3437,0.7125,0.4189,0.5506,0.3383,1.0107,-1.2147,-1.2536,6.0000,6.0000,5.6667,6.0000,5.7500
1,4,1934,73,62000,5,6,2,5,5,5,6,6,6,1,1,4,7,6,7,5,5,4,5,4,4,6,6,6,5,5,5,3,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,4,4,6,6,6,4,6,6,6,6,6,6,2,6,6,6,6,5,5,4,5,6,6,6,6,5,6,4,3,4,4,4,4,4,6,6,-0.131928533,-0.477463223,0.007640657,-0.4608,-0.2008,0.0372,0.4135,0.0666,-0.2993,-0.164916388,0.075650499,1.5895,-0.3247,-0.6241,0.0604,-0.7833,-0.68633233,-0.846026176,0.066198633,-0.777295281,-0.789290189,-0.93168636,-0.597715927,-0.345881806,-0.342218816,-0.311632532,-0.43409978,-0.249057896,-0.277626316,-0.239052461,-0.251951279,-0.457062764,-0.242517857,-0.42993414,-0.855021434,-0.4709,-0.5251,0.3959,0.0142,0.0234,-0.1222,-0.4343,-0.062,-0.7815,0.0094,-0.1669,-0.3853,0.2615,-0.2024,0.4944,0.2131,5.0000,5.2500,4.3333,5.0000,5.0000
1,5,1962,45,17000,7,4,2,6,5,5,5,5,5,1,2,3,7,7,7,7,7,6,7,6,7,7,7,7,1,1,1,1,7,7,4,7,7,7,7,7,7,7,4,5,6,6,6,7,6,6,7,7,7,7,7,4,4,7,7,7,1,7,4,6,6,4,3,3,3,5,5,5,7,3,6,4,5,5,5,3,3,2,6,5,0.35899268,0.682432846,1.37811411,0.0992,-0.0126,-0.1972,0.1344,0.0558,0.8555,0.730204588,0.012003853,-0.9806,0.728,-0.7988,1.1371,0.8036,-0.436138025,0.831601808,-0.484706613,0.661412473,0.652876948,0.544805272,-0.660601318,-0.595944902,-0.24806761,-0.82239311,-0.414261928,0.120912766,-0.412961008,-0.152561874,-0.406491551,0.188482841,-0.400633355,-0.042047801,1.206481263,0.863,0.0969,0.1021,-0.2184,-0.0397,0.6878,0.602,0.857,0.8806,1.4156,0.4509,0.9895,1.1023,-0.0117,0.7253,-0.5202,6.2500,6.2500,6.3333,7.0000,5.7500
1,7,1936,71,50000,5,5,1,4,4,5,5,5,6,1,1,1,2,2,2,5,5,5,5,5,4,5,5,6,3,3,3,3,4,2,4,5,5,5,5,5,6,6,4,4,5,5,6,4,5,6,6,6,6,4,6,6,5,6,6,6,3,5,5,5,5,5,5,5,5,6,6,6,6,6,6,2,2,2,3,4,3,2,6,4,-0.098139645,-1.545537875,0.095831249,-1.538,-0.5923,-0.5379,-0.1446,0.2776,-0.2993,-0.164916388,-0.75583928,0.5283,-0.8882,-1.0359,-0.2861,-0.4917,-0.616448297,-0.759023481,0.169390304,-0.755460597,-0.630078556,-0.719877644,-0.835690009,-0.247245833,0.026143416,0.222084601,-0.666889089,0.197538429,0.47196168,0.968786288,-0.454078762,-0.390994994,-0.440496779,-0.38560617,-0.815477746,-0.4709,-1.6453,-0.1916,-0.5764,0.2609,-0.1222,-1.4007,0.009,-0.2001,0.0094,-0.1348,-0.4307,-0.1817,-0.5998,-2.508,-0.2624,3.7500,5.2500,5.0000,5.0000,5.0000
1,8,1957,50,60000,5,5,1,5,5,7,5,4,7,5,5,7,7,7,7,5,4,4,5,5,1,4,4,5,2,2,2,2,6,6,5,6,7,2,7,2,4,6,1,1,5,4,3,4,4,4,7,7,7,5,7,7,7,7,7,7,1,6,5,6,6,6,3,3,3,2,2,2,7,3,4,5,4,6,6,6,5,5,5,5,-1.530376221,0.28347881,0.274788776,0.3718,0.23,0.2716,-0.2378,-0.0891,0.522,0.730204588,0.01513359,-0.2261,-0.5246,0.3788,-1.3628,-0.8074,-0.753665515,-0.535189671,0.643162095,-0.497675759,-0.114441219,-0.823871869,-0.383499081,0.173455978,-0.110814497,-0.693200679,-0.557764093,0.057886837,-0.157977849,-0.710423398,-0.647633565,-0.250032421,-0.388354706,-0.334873481,-1.192226919,-0.4709,0.3623,-0.3225,0.2468,-0.302,0.6878,0.1772,-1.5496,-1.0534,0.2037,-1.396,-0.8139,-1.0225,0.2159,0.7253,-0.2312,5.7500,3.2500,4.0000,5.3333,3.2500
1,9,1964,43,38000,5,6,2,7,7,7,6,6,6,4,4,4,7,7,7,6,5,6,6,6,6,6,6,6,2,2,2,2,6,6,4,5,4,4,4,5,5,5,5,5,5,5,5,6,4,4,7,7,7,7,7,7,7,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,6,6,6,4,4,5,-0.199307498,-0.141954705,-0.727079503,-0.2835,1.013,0.2716,-0.61,0.1327,0.8555,-0.164916388,0.313512398,-0.2261,-0.2682,0.5776,0.3979,0.134,-0.592070687,-0.164999686,0.532995898,-0.754026969,-0.805253733,-0.691724649,-0.07279392,0.663841018,-0.052327603,-0.56495271,-0.397997319,-0.162365609,-0.274131386,-0.318831913,-0.79254362,-0.583028352,-0.562291169,-0.316120533,0.437212971,-0.4709,-0.3287,-0.747,0.2468,-0.0013,0.6878,-0.2208,-0.3171,-0.5097,-0.6936,-0.1669,-0.4122,0.3383,1.0107,0.7253,0.2131,5.2500,5.0000,4.6667,4.0000,5.0000
1,10,1937,70,50000,6,5,1,1,1,1,4,4,4,1,1,1,7,7,7,3,2,2,2,2,4,4,4,0,4,4,4,4,5,6,2,2,2,2,3,2,2,4,2,2,2,2,2,1,2,2,6,4,0,5,6,6,6,4,4,3,7,1,2,4,4,4,4,4,4,6,6,6,5,4,1,4,1,2,6,5,4,1,5,3,-2.58075612,-1.183319062,-1.999397609,-1.2262,-2.6284,-1.3475,-0.7959,-0.9175,-2.0423,-2.235262001,-3.783419588,1.2828,-2.1294,-0.009,-1.976,-2.6844,4.685089798,1.635610038,-1.800566854,2.382763292,1.61286156,3.027391844,-0.981877175,-1.4292425,-0.781166217,-0.940496661,0.051169368,1.469598512,0.990969527,1.921609113,-0.674095303,0.383131654,0.213949497,0.810032129,1.506514729,0.196,-1.3764,-0.9099,-1.3997,-1.2816,-0.6621,-1.4387,-2.3827,-2.9874,-1.8619,-2.4983,-2.5913,-0.7103,-2.6285,0.7253,-1.2536,3.7500,2.5000,1.6667,2.3333,2.0000
1,11,1975,32,27000,7,3,2,5,5,5,5,5,5,1,1,1,6,6,6,5,4,5,4,5,4,4,5,5,3,2,2,2,6,6,6,6,5,5,5,6,6,6,4,6,6,6,5,6,6,6,7,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,4,5,5,5,2,0.45555526,0.320961976,0.024778916,0.5211,-0.2008,0.2716,-1.0749,0.2776,0.2148,-0.164916388,0.313512398,-0.0709,0.3946,-0.2122,-0.6242,-0.8058,-0.224107676,-0.309271906,0.316986873,-0.999273374,-0.992521649,-1.34454428,-0.35683612,-0.272923797,-0.284686501,-0.371903494,-0.127991047,-0.171180654,-0.131514057,-0.132062521,-1.13983227,-0.629888803,-0.779548186,-0.860966781,-0.709923509,0.863,0.5259,-1.2037,0.2468,0.2609,0.0922,0.364,0.1795,0.6087,0.0094,0.4189,0.3894,-0.6628,-0.2024,0.0786,-0.5202,6.0000,5.5000,6.0000,5.0000,5.7500
