,Age,BI,EE,Exp,FC,Gender,HAB,HM,PE,PV,SI
Experience,,,,1,,,,,,,
FACL1,,,,,0.283,,,,,,
FACL2,,,,,0.701,,,,,,
FACL3,,,,,-0.775,,,,,,
FACL4,,,,,0.165,,,,,,
HAB1,,,,,,,0.31,,,,
HAB2,,,,,,,0.335,,,,
HAB3,,,,,,,0.298,,,,
HAB4,,,,,,,0.23,,,,
INFL3,,,,,,,,,,,0.355
INT1,,0.38,,,,,,,,,
INT2,,0.342,,,,,,,,,
INT3,,0.328,,,,,,,,,
MOTIV1,,,,,,,,0.386,,,
MOTIV2,,,,,,,,0.365,,,
MOTIV3,,,,,,,,0.315,,,
NORM1,,,,,,,,,,,0.352
NORM2,,,,,,,,,,,0.34
PEOU1,,,0.404,,,,,,,,
PEOU3,,,0.134,,,,,,,,
PEOU5,,,0.267,,,,,,,,
PEOU6,,,0.273,,,,,,,,
PERF1,,,,,,,,,0.293,,
PERF2,,,,,,,,,0.256,,
PERF3,,,,,,,,,0.264,,
PERF4,,,,,,,,,0.288,,
VALUE1,,,,,,,,,,0.29,
VALUE2,,,,,,,,,,0.338,
VALUE3,,,,,,,,,,0.404,
age,1,,,,,,,,,,
gender,,,,,,1,,,,,
