              ,Age,BI,EE,Exp,FC,Gender,HAB,HM,PE,PV,SI
Experience,,,,1,,,,,,,
FACL1,,,,,0.406,,,,,,
FACL2,,,,,0.361,,,,,,
FACL3,,,,,0.478,,,,,,
FACL4,,,,,0.109,,,,,,
HAB1,,,,,,,0.325,,,,
HAB2,,,,,,,0.137,,,,
HAB3,,,,,,,0.159,,,,
HAB4,,,,,,,0.619,,,,
INFL3,,,,,,,,,,,0.332
INT1,,0.366,,,,,,,,,
INT2,,0.339,,,,,,,,,
INT3,,0.369,,,,,,,,,
MOTIV1,,,,,,,,0.332,,,
MOTIV2,,,,,,,,0.483,,,
MOTIV3,,,,,,,,0.351,,,
NORM1,,,,,,,,,,,0.363
NORM2,,,,,,,,,,,0.334
PEOU1,,,0.246,,,,,,,,
PEOU3,,,0.248,,,,,,,,
PEOU5,,,0.31,,,,,,,,
PEOU6,,,0.295,,,,,,,,
PERF1,,,,,,,,,0.178,,
PERF2,,,,,,,,,0.317,,
PERF3,,,,,,,,,0.344,,
PERF4,,,,,,,,,0.374,,
VALUE1,,,,,,,,,,0.35,
VALUE2,,,,,,,,,,0.352,
VALUE3,,,,,,,,,,0.338,
age,1,,,,,,,,,,
gender,,,,,,1,,,,,
