Construct,Original correlation,Correlation permutation mean,5.00%,Permutation p value,Original difference,Permutation mean difference,2.50%,97.50%,Permutation p value,Original difference,Permutation mean difference,2.50%,97.50%,Permutation p value
Age,1,1,1,0.015,-0.183,0.004,-0.27,0.296,0.235,-0.127,0.026,-0.385,0.488,0.579
BI,1,1,1,0.183,-1.718,-0.002,-0.276,0.29,0,0.821,0.006,-0.282,0.306,0
EE,0.995,0.953,0.743,0.736,-0.419,0.003,-0.289,0.304,0.006,0.483,0.021,-0.533,0.613,0.095
Exp,1,1,1,0.003,0.13,0.002,-0.269,0.294,0.366,-0.022,0.023,-0.571,0.677,0.933
FC,0.308,0.925,0.742,0.009,-0.626,-0.003,-0.286,0.299,0,0.543,0.008,-0.432,0.459,0.012
Gender,1,1,1,0.452,-0.067,0.001,-0.15,0.14,0.372,-0.029,0.007,-0.05,0.103,0.447
HAB,0.949,0.998,0.994,0,-1.065,0.001,-0.291,0.292,0,0.398,0.012,-0.342,0.402,0.04
HM,0.999,1,0.999,0.119,-1.006,0,-0.272,0.283,0,1.118,0.017,-0.398,0.482,0
PE,0.997,1,0.999,0.001,-1.117,-0.003,-0.284,0.296,0,1.416,0.013,-0.494,0.498,0
PV,1,1,0.998,0.239,-0.53,0.002,-0.274,0.274,0,0.317,0.002,-0.395,0.394,0.103
SI,1,1,1,0.601,-0.863,-0.004,-0.279,0.265,0,-0.106,0,-0.359,0.397,0.576
